Иероглиф,Основное значение,Дополнительное значение,Примечание
炕,кан,,
炎,языки огня,,
炉,печь,,
沫,пена,,
浅,мелкий,,
法,закон,,
泄,протекать,,
沽,торговать,,
河,река,,
沾,намочить,,
泪,слеза,,
沮,размокать,,
油,масло,,
泊,останавливаться,,
沿,вдоль,следовать,
泡,пузыри,,
注,течь,,
泣,беззвучно плакать,,
泞,жидкая грязь,,
泻,лить,,
泌,бить ключом,,
泳,плавать,,
泥,грязь,,
沸,кипеть,,
沼,болото,,
波,волна,,
泼,лить,,
泽,болотистая низина,,
治,держать в порядке,,
怔,испугаться,,
怯,бояться,,
怖,бояться,,
性,природа,,
怕,бояться,,
怜,сочувствовать,,
怪,странный,,
怡,радоваться,,
学,учиться,,
宝,драгоценность,,
宗,род,,
定,приходить в порядок,,
宠,любить,,
宜,быть должным,,
审,вникать,,
宙,балки,,
官,чиновник,,
空,пустой,небо; воздух,
帘,вывеска,,
宛,склоняться,,
实,полный,,
试,пробовать,,
郎,мужчина,,
诗,стихи,,
肩,плечо,,
房,дом,,
诚,искренний,,
衬,подкладывать,,
衫,синий халат,,
视,смотреть,,
祈,молиться,,
话,слова,,
诞,родиться,,
诡,хитрый,,
询,советоваться,,
该,агол,,
详,подробный,,
建,строить,,
肃,почтительный,,
录,делать записи,,
隶,принадлежать,,
帚,веник,,
屉,парильня,,
居,жить,,
届,подходить,,
刷,щётка,,
屈,сгибаться,,
弧,дуга,,
弥,наполнять,,
弦,тетива,,
承,собирать,,
孟,начальный,,
陋,низкий,,
陌,поперечная межа,,
孤,сирота,,
陕,сокр. провинция Шэньси 陕西,,
降,снижаться,сдаваться,
函,ящик,,
限,граница,,
妹,младшая сестра,,
姑,тётка,,
姐,старшая сестра,,
姓,фамилия,,
妮,девочка,,
始,начало,,
姆,воспитательница,,
迢,далёкий,,
驾,запрягать,,
叁,три,,
参,принимать участие,,
艰,трудность,,
线,нитка,,
练,вываривать и отбеливать,,
组,группа,,
绅,джентри,,
细,тонкий,,
驶,мчаться,,
织,ткать льняное полотно,,
驹,молодая лошадь,,
终,конец,,
驻,останавливаться,,
绊,аркан,,
驼,верблюд,,
绍,наследовать,,
绎,конец нити,,
经,основа,,
贯,гуань,,
契,контракт,,
贰,два,,
奏,играть,,
春,весна,,
帮,помогать,,
玷,изъян самоцвета,,
珍,жемчужина,,
玲,звон,,
珊,коралл,,
玻,стекло,,
毒,яд,,
型,шаблон,,
拭,вытирать слёзы,,
挂,висеть,,
封,жаловать землёй,,
持,держаться,,
拷,бить,,
拱,складывать руки в знак приветствия,,
项,шея,,
垮,разваливаться,,
挎,вешать на руку,,
城,крепостная стена,,
挟,иметь при себе,,
挠,чесать,,
政,управление,,
赴,поехать в,,
赵,Чжао,,
挡,преграждать,,
拽,тащить,,
哉,восклицательная частица,вопросительная частица,
挺,вытягиваться,,
括,забирать,,
垢,грязь,,
拴,привязывать,,
拾,подобрать,,
挑,нести на коромысле,,
垛,куча,,
指,палец,,
垫,подкладывать,,
挣,напрягать,,
挤,толпиться,,
拼,составлять,,
挖,копать,,
按,давить,,
挥,махать,,
挪,перемещать,,
拯,помогать,,
某,некто,,
甚,в функции сказуемого сильнее чем,,
荆,терновник,,
茸,метёлка,,
革,кожа,,
茬,стерня,,
荐,рекомендовать,,
巷,переулок,,
带,пояс,,
草,трава,,
茧,кокон,,
茵,подстилка,,
茶,чай китайский,,
荒,заросший сорняками,,
茫,безбрежный,,
荡,колыхаться,,
荣,полевой цветок,,
荤,мясной,,
荧,сияние,,
故,причина,,
胡,борода,,
荫,сень,,
荔,касатик,,
南,юг,,
药,лекарство,,
标,вершина дерева,,
栈,склад,,
柑,мандарин благородный,,
枯,высохший на корню,,
柄,рукоятка,,
栋,строит. прогон,,
相,взаимно,внешность; облик,
查,обследовать,,
柏,кипарис плакучий,,
栅,изгородь,,
柳,ива плакучая,,
柱,столб,,
柿,помидор,,
栏,перила,,
柠,лимон,,
树,дерево,,
勃,неожиданный,,
要,хотеть,требовать,
柬,карточка,,
咸,солёный,,
威,престиж,,
歪,кривой,,
